user_agent_sk,ua_hash,user_agent,agent_type,browser_name,browser_version,operating_system,device_type
13,904a729aa850b23047cc49359d2859b67e83195e7603f35ac34d827b15206024,BlackBerry9700/5.0.0.862+Profile/MIDP-2.1+Configuration/CLDC-1.1+VendorID/142,Browser,BlackBerry,9700,BlackBerry OS,Mobile
14,7e561a03fc3c709f1f2d2243677678aee255da4db51416e5fad1990649b65431,BlueDragon,Browser,Other,Unknown,Other,Other
15,bec95f8ff48a4730b21dbbfbdcb07f008c584d951d6db2741e3e9c9a6a7ab89a,BPImageWalker/2.0+(www.bdbrandprotect.com),Browser,Other,Unknown,Other,Other
16,93f88990d98e66e1d5cc2647567dca515c7f640fe052ebb9605795503acd847c,CatchBot/2.0;++http://www.catchbot.com,Crawler,CatchBot,2.0,Other,Bot
17,5fa6a43564e218cda23ad8b1ca047695c75a23f6063a07a4596f10f852584d67,CatchBot/3.0;++http://www.catchbot.com,Crawler,CatchBot,3.0,Other,Bot
18,3de972f541c9288c402d51be9b753910a83c0e52a285f8e8779af802631d1919,Chen+Li/Nutch-1.0+(Nutch+spiderman;+http://chenli.com.cn;+chenlibiti@163.com),Crawler,Nutch,1.0,Other,Bot
19,69c7bc464726556608c68eadd422f7a331506f134142d042864a38e2eb4eaf16,curl/7.19.5+(i486-pc-linux-gnu)+libcurl/7.19.5+OpenSSL/0.9.8g+zlib/1.2.3.3+libidn/1.15,Browser,curl,7.19.5,Linux,Other
20,f90ae472cccd5463997fefc0424054ec98a847a6609132f4118589e915f670a8,DailyPerfect/1.0,Browser,Other,Unknown,Other,Other
21,973ae74b22f0b338afdf47eb561f384712dc175b0a29b99716f40610b507185e,DataCha0s/2.0,Browser,Other,Unknown,Other,Other
22,3c92bb11b8936c4da7b0e2583bc4e6083476dad487104f01cc58dfe86913346b,DoCoMo/2.0+N905i(c100;TB;W24H16)+(compatible;+Googlebot-Mobile/2.1;++http://www.google.com/bot.html),Crawler,Googlebot-Mobile,2.1,Other,Mobile
23,2a201941db15d62709ed097df98614a819a1e0e09bd4a269e43eee5f8554924b,DoCoMo/2.0+P900i(c100;TB;W24H11)(compatible;+ichiro/mobile+goo;+http://help.goo.ne.jp/door/crawler.html),Crawler,ichiro/mobile,Unknown,Other,Bot
24,aa2f6fd9d86473298e0216e80301213a62a942644e10bcaf28c14bc143f00d60,DoCoMo/2.0+P900i(c100;TB;W24H11)+(compatible;+ichiro/mobile+goo;++http://help.goo.ne.jp/help/article/1142/),Crawler,ichiro/mobile,Unknown,Other,Bot
25,aea59a68e7eca41696d517d2f8ab1bd59c3cc98eb52088350d4c084cb23e22f1,Domnutch-Bot/Nutch-1.0+(Domnutch;+http://www.Nutch.de/),Crawler,Nutch,1.0,Other,Bot
26,0697983646dd4f9707736f60c6b70d5349fa6af78d3d72d751dbc47372ba741d,EasyDL/3.04++http://keywen.com/Encyclopedia/Bot,Crawler,Encyclopedia/Bot,Unknown,Other,Bot
27,0034a54741f360874f5e16be78be4636ba2bf2c9436b6df7fadae9452e24cb0d,ee://aol/http,Browser,Other,Unknown,Other,Other
28,b98a072521baf6640fdd8caa786166cdb87e3a0d83009f1bbb9dd341f1ba8ea4,es_com_viewer+(larbin2.6.3@unspecified.mail),Crawler,larbin,Unknown,Other,Bot
29,67380510737069820d6471956df6211b462fb4f9b92ac86287d8d93abd9be5ae,es_com_viewer+larbin2.6.3@unspecified.mail,Crawler,larbin,Unknown,Other,Bot
30,7095618fdeb538fbf491aea27d9a2380cc31402f2ab332e926c28b7dff4d3593,facebookexternalhit/1.0+(+http://www.facebook.com/externalhit_uatext.php),Crawler,FacebookBot,1.0,Other,Bot
31,f6f89f6d601182a9dcb782c5078f674a487b313923023d236960546a5803842f,facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php),Crawler,FacebookBot,1.1,Other,Bot
32,7ce86123574f25e38c449d7f744ea8b6195131dbb9b35ef72dc2eba33b10c76a,FeedDemon/3.0+(http://www.feeddemon.com/;+Microsoft+Windows),Browser,Other,Unknown,Windows,Other
33,7145deb576e8f889f3a07108a2bb722409605784eed12afcd723bebacb97e6bd,findlinks/2.0.2+(+http://wortschatz.uni-leipzig.de/findlinks/),Crawler,findlinks,2.0.2,Other,Bot
34,0076c82db5210c3cd78927caee26c98715198941d032a22161ca4c3501637563,FlightDeckReports+Bot+1.5+beta+(http://www.flightdeckreports.com/bot),Crawler,FlightDeckReports Bot,1.5,Other,Bot
35,4d5d6268d0a9c1a95ab9e22d059cdc028f82ce42bcffb181ceb451c6c0c379ac,GbPlugin,Browser,Other,Unknown,Other,Other
36,9b5b53d8d1ebc9712fe95045dc675110a11b1c51f07a7446d87ef8450c7d8989,GeoHasher/Nutch-1.0+(GeoHasher+Web+Search+Engine;+geohasher.gotdns.org;+geo_hasher+at+yahoo+*+com),Crawler,Nutch,1.0,Other,Bot
37,5370c49ccc09e7f650f504f2fb3562bdd496a42a1914c774b805aeab74c342c4,Googlebot-Image/1.0,Crawler,Googlebot-Image,1.0,Other,Bot
38,941afe53feff57b9e3f5ff46b9519ec14b8e96b659027f3473509944f836a883,HD+nutch+agent/Nutch-1.2,Crawler,Nutch,1.2,Other,Bot
39,227d241d64b9ba5d7f071b6494ca773e5e68a00e98bac812dae7fea69a74b938,hitcrawler_0.1+(ringken@gmail.com),Crawler,hitcrawler_0,Unknown,Other,Bot
40,90ab289f4317f099d688a4041f73b8924d50edc8346e90c13136e320ea41077a,hitcrawler_0.1+ringken@gmail.com,Crawler,hitcrawler_0,Unknown,Other,Bot
41,62ed4a0a97c2e6865df8f4eccb8ba00d6c323b103cf8600602b2969a0f3e6e58,http://domino.research.ibm.com/comm/research_projects.nsf/pages/sai-crawler.callingcard.html,Crawler,sai-crawler,Unknown,Other,Bot
42,e9ba0c6850a2633504514e4ddb41e624c8bca5db4f5ea0e9c26e969002de497c,https_page_test+(larbin2.6.3@unspecified.mail),Crawler,larbin,Unknown,Other,Bot
43,21b27d7b0cc28036d96d11579dd98d6a543b7e561bb1ce7d90eb8be0baf89471,https_page_test+larbin2.6.3@unspecified.mail,Crawler,larbin,Unknown,Other,Bot
44,b0adfdf16c05a4f7c7323492c046b2df4dd53fce8ac190d94d8da797a3b65dfc,HuaweiSymantecSpider/1.0+DSE-support@huaweisymantec.com+(compatible;+MSIE+7.0;+Windows+NT+5.1;+Trident/4.0;+.NET+CLR+2.0.50727;+.NET+CLR+3.0.4506.2152;+.NET+CLR+;+http://www.huaweisymantec.com/cn/IRL/spider),Browser,HuaweiSymantecSpider,1.0,Windows,Desktop
45,5dd616209466c7caedace7de3a0abb87b443870e4e3d7f81d44f453c279cb960,HuaweiSymantecSpider/1.0+DSE-support@huaweisymantec.com+(compatible;+MSIE+7.0;+Windows+NT+5.1;+Trident/4.0;+.NET+CLR+2.0.50727;+.NET+CLR+3.0.4506.2152;+.NET+CLR+;+http://www.huaweisymantec.com/en/IRL/spider),Browser,HuaweiSymantecSpider,1.0,Windows,Desktop
46,8df21a1752070836ce1bd78c28012a17d72efb01b95f587dc31948d986c7f1eb,Huaweisymantecspider+(compatible;+MSIE+8.0;+DSE-support@huaweisymantec.com),Browser,Huaweisymantecspider,Unknown,Other,Other
47,f2265437da9c135e7dd1233136e2041b958a0b15262b0e6f46e120d4312614f8,ia_archiver+(+http://www.alexa.com/site/help/webmasters;+crawler@alexa.com),Crawler,ia_archiver,Unknown,Other,Bot
48,df776b69f89c291b84e0425d5ab68c377c40322ceda995ba8bfc422f8fa2aeb6,ICC-Crawler/2.0+(Mozilla-compatible;+;+http://kc.nict.go.jp/project1/crawl.html),Crawler,ICC-Crawler,2.0,Other,Bot
49,9ddfe6ebf1e9829aedc24d8794606f0fdfe76b8adb1bcb5be9f567ac05c4c67c,Iceweasel2.0.0.16/Nutch-1.1+(Webbrowser;+http://iceweasel.com;+info@iceweasel.com),Crawler,Nutch,1.1,Other,Bot
50,45ee9a932378504ac0c69e02b12f1079eabdbf862946968399b570caa1e85207,ichiro/4.0+(http://help.goo.ne.jp/door/crawler.html),Crawler,ichiro,4.0,Other,Bot
51,71a4c246a1c7b5dc0527d0af5bfa208784bcc1428afae3c7bb3e5c94cd0922db,Internet+Explorer+6.0,Browser,Other,Unknown,Other,Other
52,b99e0d160c9cd8d17f0a22a1536f5b4e979cc914d1a12fa58bb49595f31e8334,IS+Alpha/Nutch-1.1,Crawler,Nutch,1.1,Other,Bot
53,ade93f7ca68cdf0a9be976ae986cf175758d8f848670f22a4e0ff34ef30262cd,Jakarta+Commons-HttpClient/3.0-rc3,Browser,Other,Unknown,Other,Other
54,60b0ca030ac45c452768fe1c817f3b77c58351811c8c17428b38f30138c10097,Java/1.6.0_0,Crawler,Java,6.0.0,Other,Bot
55,27ce53c9f881630f8b26d86191aaa6306ca7b995c59ea10186076d1a03672904,Java/1.6.0_04,Crawler,Java,6.0.4,Other,Bot
56,ac949cc033684dc7deb9662f0d0cc80d1091edc1d068aecec008038b458c36e9,Java/1.6.0_17,Crawler,Java,6.0.17,Other,Bot
57,e0aa9c9b7d9bbadcf1a843a7090932ee042dcab8258d812653f6e74f596e0abb,Java/1.6.0_21,Crawler,Java,6.0.21,Other,Bot
58,5efdc5f73ae78e959c0f40284d8f59423cfb039947ded2930d323b9c5c36fae7,Java/1.6.0_22,Crawler,Java,6.0.22,Other,Bot
59,3eba9bcdaed7981b21dd8df578505355bcdba1a3527d53d42551799a5e4cb419,LG-KF510+Obigo/WAP2.0+MIDP-2.0/CLDC-1.1,Browser,Obigo,2.0,Other,Mobile
60,2c36942bf5a0e34e884d28f4a15cd5c60a3551fa037c50aad29be79bffe79d78,LG-KS360+Teleca/WAP2.0+MIDP-2.0/CLDC-1.1+Novarra-Vision/8.0,Browser,Teleca Browser,Unknown,Other,Mobile
61,e05e8c6a3a8acdbef71afc448db1c8ffd8c1ba1e0f9d2c144360df82aea8b6f8,libwww-perl/5.805,Browser,libwww-perl,5.805,Other,Mobile
62,ab84de831c9602525f1259617debd81e55c2cca898651ad8988ac00d7745ea2c,LinkParser/2.0,Browser,Other,Unknown,Other,Other
63,1f5e591dc721828f4c3e9a619e26f8653b803479d9abe3939eb0244b39cd3b11,LinkScan/11.7+Unix,Browser,Other,Unknown,Other,Other
64,a3e9385d742da8bc56f14037deaddbf85ad9da808d4d6e4ce3356f19dfa1e2f1,LinkWalker/2.0,Browser,Other,Unknown,Other,Other
65,ac3bf95d9022be5106aba121a0d250b6056cd52173fc890dee7f92709671953f,Made+by+ZmEu+@+WhiteHat+Team+-+www.whitehat.ro,Browser,Other,Unknown,Other,Other
66,528ab9af0a530a9895088bf8435193f2e6e3b7c9de651363138643a0b75e045a,Mail.Ru/1.0,Browser,Other,Unknown,Other,Other
67,ae40a47d8b417eea90a93829e61cdca29b0bbe97d046d5df2b30ec16b0877332,Microsoft+Data+Access+Internet+Publishing+Provider+DAV+1.1,Browser,Other,Unknown,Other,Other
68,47f650bc5559cde6653ef6b8f4c57be9c05a937a32af380db226666f2c5b9e24,Microsoft+Data+Access+Internet+Publishing+Provider+DAV+1.2,Browser,Other,Unknown,Other,Other
69,a971d98992b7b86fd990a0ceba46683f2e8c67c8f19b6bef1d0a1d40f1619fac,Microsoft+Internet+Explorer,Browser,Other,Unknown,Other,Other
70,6ca7c9f8b91161b7c020f765733cfdb7f717452b0f988286646cdb05f889d75d,MLBot+(www.metadatalabs.com/mlbot),Crawler,MLBot,Unknown,Other,Bot
71,475582ece52a156ca0c8376d86a6aae14659c30a8a4a9595e37ec1e980aa0f4f,Mnogosearch-3.1.21,Browser,Other,Unknown,Other,Other
72,5cafee87e831facf5811126ae14388dbe43586b511e06c3c419ab94dbebcaed5,Morfeus+Fucking+Scanner,Browser,Other,Unknown,Other,Other
73,74ee7b94360c9cd0fc0838eb9be17ecc01ab462602db7f9ca5c8c0b653b1f1a6,Morfeus+strikes+again.,Browser,Other,Unknown,Other,Other
74,419b633da3a0329ba78fb6e3df4fb1d9e7c3af6cd87af3a752971d4e7c7d9c45,Mozilla/2.0+(compatible;+MSIE+3.02;+Windows+CE;+240x320),Browser,IE,3.2,Windows,Mobile
75,bdff4b0f5535eb875dadc4fd3e26fb22539920ed7973608c9dcb78b4fd4c2d60,Mozilla/3.0+(compatible;+Indy+Library),Browser,Other,Unknown,Other,Other
76,7a724ff86ce243849ba31da256c4e14f5c300b07e33814c6c03d21c5e1aed7b0,Mozilla/4.0,Browser,Other,Unknown,Other,Other
77,6e312f6afe0e27dc88e8d31cde6882f5e4c6be13c1742c67ed373344e22992f5,Mozilla/4.0(compatible;MSIE+6.0;+Windows+NT+5.1),Browser,IE,6.0,Windows,Desktop
78,a049d5133041f03a1fc1c6f02ab9d4fe3ad93df0a6024a174062d0f222add535,Mozilla/4.0+(compatible;),Browser,Other,Unknown,Other,Other
79,6c587a5225eb90f783c73dfcff7da8489ffc15b8eaedcbd95ecc943827272db5,Mozilla/4.0+(compatible;+6.0;+Windows+NT+5.1,Browser,Other,Unknown,Windows,Desktop
80,7c6dfc017642cae522658d68394e8867ac8da16b285cec911e5a600e3fc0805a,Mozilla/4.0+(compatible;+BOTW+Spider;++http://botw.org),Crawler,BOTW Spider,Unknown,Other,Bot
81,625adfbbb8cc538477f2748a19aa01f52739e71aa52ad24d94d9ed35717cd405,Mozilla/4.0+(compatible;+Forests.org),Browser,Other,Unknown,Other,Other
82,24cd915ab72f2ab7db76800ed77682ca86a307accb862f1b49d21e2a82384988,Mozilla/4.0+(compatible;+GoogleToolbar+4.0.1019.5266-big;+Windows+XP+5.1;+MSIE+8.0.6001.18702),Browser,IE,8.0,Windows,Other
83,e937e7c811b86b0094ad0c0478495915b7d379dfbb51300ad4662772501186a6,Mozilla/4.0+(compatible;+GoogleToolbar+6.3.1106.427;+Windows+XP+5.1;+MSIE+8.0.6001.18702),Browser,IE,8.0,Windows,Other
84,2a7357b6aa3434477d640f6e46adc1cdae0bdb354898579d7994b7fea387359c,Mozilla/4.0+(compatible;+GoogleToolbar+6.4.1321.1732;+Windows+6.0;+MSIE+8.0.6001.18882),Browser,IE,8.0,Windows,Other
85,b7c976141b2e99459e3ee2a41ac1a7ccc76682d80d9dd2003e3665b2984e4b2a,Mozilla/4.0+(compatible;+GoogleToolbar+6.4.1321.1732;+Windows+6.0;+MSIE+8.0.6001.18904),Browser,IE,8.0,Windows,Other
86,05c96d7deab37c367676f07115d6f1ff2022a0151e451b424079c2958f318acc,Mozilla/4.0+(compatible;+GoogleToolbar+6.5.708.1000;+Windows+6.1;+MSIE+8.0.7600.16385),Browser,IE,8.0,Windows,Other
87,6ef8cce7843f4cef02a634c640ec27ff1487114000ade7b5a515255a3582e80b,Mozilla/4.0+(compatible;+GoogleToolbar+6.6.1015.36;+Windows+XP+5.1;+MSIE+8.0.6001.18702),Browser,IE,8.0,Windows,Other
88,91731daeed40c527c7b1ee85b9de7130a01141041d69b4e4512730ef18464595,Mozilla/4.0+(compatible;+GoogleToolbar+6.6.1124.846;+Windows+XP+5.1;+MSIE+8.0.6001.18702),Browser,IE,8.0,Windows,Other
89,33d51394cc90a4bad47532547177ef6749a9d9b0f2942b0ac461b291253e484b,Mozilla/4.0+(compatible;+GoogleToolbar+6.6.1409.1944;+Windows+6.1;+MSIE+8.0.7601.17514),Browser,IE,8.0,Windows,Other
90,47d4dc89a8dd969847c715c6a9b72c9ea19f73e4209d33cb8207e56dd95b761e,Mozilla/4.0+(compatible;+GoogleToolbar+7.0.1614.2212;+Windows+XP+5.1;+MSIE+8.0.6001.18702),Browser,IE,8.0,Windows,Other
91,3dfd5932ccedc1507869f6311dbb59e43eda6b1510a260d6084a640a96ff149a,Mozilla/4.0+(compatible;+ICS),Browser,Other,Unknown,Other,Other
92,9d158c43b03966fd798904646342189368ea9e6ffc40e21d6c7b644a9e9f88c7,Mozilla/4.0+(compatible;+MSIE+4.01;+Windows+95),Browser,IE,4.1,Windows,Other
93,8fe39ba1a0efe34bd85475a1bfc4ed9a5240c85b30b4672c97c4b8ba8e1795f2,Mozilla/4.0+(compatible;+MSIE+4.01;+Windows+98),Browser,IE,4.1,Windows,Other
94,6753362ec9e9fbb9b36f8b8ed7787f452078a8056f98a3446de86b810b284cbe,Mozilla/4.0+(compatible;+MSIE+4.01;+Windows+NT),Browser,IE,4.1,Windows,Desktop
95,bf9c6cd39c36a9a05ce3e5e879b6c86896c64695f1cc96cd4626f2a9d408ba3a,Mozilla/4.0+(compatible;+MSIE+4.01;+Windows+NT;+MS+Search+6.0+Robot),Crawler,Robot,Unknown,Windows,Desktop
96,4a55fd28fd32f7382320cba5eaab0ed6dff972e0415b4d13f9495d46fdef0516,Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+3.1),Browser,IE,5.0,Windows,Other
97,4c0e8c924cb517a1c1c65f9d59db97b2240f6ffcce25f7ee7c77383f75d0650c,Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+95)+Opera+6.01++[en],Browser,Opera,6.1,Windows,Other
98,47beb40613ad1d6c784746e61dd309ff1bd10678362936847e4d57362650880e,Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+NT;+DigExt;+DTS+Agent,Browser,IE,5.0,Windows,Desktop
99,ff73c1a575f67248f974e34e100c2221e458aead2693bc6e506437ac86e294bc,Mozilla/4.0+(compatible;+MSIE+5.00;+Windows+98),Browser,IE,5.0,Windows,Other
100,eb2c9da8affbc40b48b73a90314709258c5efd57a004f030c01d3edb60eb9fa5,Mozilla/4.0+(compatible;+MSIE+5.01;+Windows+95;+MSIECrawler),Crawler,MSIECrawler,5.1,Windows,Bot
101,a1c72a4a95a649d77d5dbe0ba3d9c131399bb065621718edb4f6755319094087,Mozilla/4.0+(compatible;+MSIE+5.01;+Windows+NT),Browser,IE,5.1,Windows,Desktop
102,b8651486f7b45a31398e4407e5c09beaaf0f9b152dc3e6232b9e75dd85588f69,Mozilla/4.0+(compatible;+MSIE+5.01;+Windows+NT+5.0),Browser,IE,5.1,Windows,Desktop
103,e262fd4c1da958a0973c48daa1db2db2892bed5512160c8e44c480cc81897ceb,Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+95),Browser,IE,5.5,Windows,Other
104,ede7591f27964455e351f6aec72ccb7fa264b8dc26e2b2c0b994698b6d043c61,Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+95;+BCD2000),Browser,IE,5.5,Windows,Other
105,269ddc6465e7151d34de6fbcc0c79015594534e0b4b803504acfe9e75c6015ad,Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90;+AT&T+WNS5.0+IE5.0.01;+AT&T+WNS5.2;+FunWebProducts),Browser,IE,5.5,Windows,Desktop
106,d12e15b64ae4e536e0df05f0f7e3ae8c40836c3277da2001933ee320dde718e1,Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+NT+4.0;+.NET+CLR+1.0.2914),Browser,IE,5.5,Windows,Desktop
107,3f5c215f46033a5ba569cf8128ab56293bc7f4a2d386e2cc525f8c1e13ece614,Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+NT+5.0),Browser,IE,5.5,Windows,Desktop
108,6499763c0bfe6000d7dd10438e97a150742df4f944359d7c6c3407ec1a689497,Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+NT+5.0;+.NET+CLR+1.1.4322),Browser,IE,5.5,Windows,Desktop
109,74ccb35e783591fdeea057eda0bd8ad9ba1cfc1bce729aa696cad12aa70170ea,Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+NT+5.0;+T312461),Browser,IE,5.5,Windows,Desktop
110,b126a570c739bd9175435294d33810617cff0d4e58609d0b4a4afe97a8e29832,Mozilla/4.0+(compatible;+MSIE+6.0;+America+Online+Browser+1.1;+rev1.2;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322;+SpamBlockerUtility+4.7.5),Browser,IE,6.0,Windows,Desktop
111,82ffce2955f16549ae72208f4ed72854e35221c4f379329fea73ad2825c091ef,Mozilla/4.0+(compatible;+MSIE+6.0;+America+Online+Browser+1.1;+Windows+NT+5.1;+SV1;+FunWebProducts;+(R1+1.5);+HbTools+4.8.2),Browser,IE,6.0,Windows,Desktop
112,931c6358c90d88d33c529d05c18418cc30ede1764cd691ab69f020b27c4b4417,Mozilla/4.0+(compatible;+MSIE+6.0;+America+Online+Browser+1.1;+Windows+NT+5.1;+SV1;+FunWebProducts;+ZangoToolbar+4.8.2;+SpamBlockerUtility+4.8.4),Browser,IE,6.0,Windows,Desktop
113,acaec14d759aff3eb1da90e29ae1f9d8ccd2f5b3ce822aedb4e52d5ae8e31743,Mozilla/4.0+(compatible;+MSIE+6.0;+AOL+9.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322;+.NET+CLR+2.0.50727;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729),Browser,IE,6.0,Windows,Desktop
114,bd81e45771ca503bfc93fa385c6e9502cbd63dbdc3f27eb46800bcb36c6484bc,Mozilla/4.0+(compatible;+MSIE+6.0;+AOL+9.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322;+.NET+CLR+2.0.50727;+InfoPath.2),Browser,IE,6.0,Windows,Desktop
115,a9ea35cd96f89193c8e1688f012342aee4c5a047f5e71c217d3461ff5e1250de,Mozilla/4.0+(compatible;+MSIE+6.0;+AOL+9.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322;+.NET+CLR+2.0.50727;+ZangoToolbar+4.8.3),Browser,IE,6.0,Windows,Desktop
116,2fa86bbfa02f0e2b6d33af04dd7fde68233a794293926b2a574af5383dd203fa,Mozilla/4.0+(compatible;+MSIE+6.0;+AOL+9.0;+Windows+NT+5.1;+SV1;+FunWebProducts;+.NET+CLR+1.1.4322;+HbTools+4.8.0),Browser,IE,6.0,Windows,Desktop
117,c04baab00e3b54f0bc712652cf455dfb0371ce552530ff02dbdbcb24f6758d8f,Mozilla/4.0+(compatible;+MSIE+6.0;+AOL+9.1;+AOLBuild+4334.5006;+Windows+NT+5.1;+SV1;+GTB6.3),Browser,AOL,9.1.4334,Windows,Desktop
118,d339394e61c73b1091464f76f788dcb5c9eaf4168d37f8751cdc0ec95ca9d7d1,Mozilla/4.0+(compatible;+MSIE+6.0;+Mac_PowerPC+Mac+OS+X;+en)+Opera+8.02,Browser,Opera,8.2,Mac OS,Other
119,f1750e8f9fca68a1361e4fe7f8a30f055d2b4c23bf75cf361b9070159fc39aca,Mozilla/4.0+(compatible;+MSIE+6.0;+MSIE+5.5;+Windows+NT+4.0)+Opera+7.0+[en],Browser,Opera,7.0,Windows,Desktop
120,331c6176efce9d1bd499dbdc86a39f283046be3858f7e9ce3f6b6f6de58eab3b,Mozilla/4.0+(compatible;+MSIE+6.0;+MSIE+5.5;+Windows+NT+5.0)+Opera+7.02+Bork-edition+[en],Browser,Opera,7.2,Windows,Desktop
121,1d29affcb5a8011b3698941c329c21d5b4be11e81e5bf214fc3b57f1ace7b653,Mozilla/4.0+(compatible;+MSIE+6.0;+Qihoo+0.9.6),Browser,IE,6.0,Other,Other
122,0fddb2d003c8b258c297027a084f0cd1b4ffc0c50c9f4b6cccfcba236c590751,Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98),Browser,IE,6.0,Windows,Other
123,046498efcd4c8f0a0647768988e09933960ff5fb6cedd06a314419de32e26a11,Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+.NET+CLR+1.1.4322),Browser,IE,6.0,Windows,Other
124,7d8902c50c185e4bdd088b6d898a9c1198a075292b4925285f9fe978a1292ed7,Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+{24F91301-8037-11D9-8008-000629CFE391};+.NET+CLR+1.1.4322),Browser,IE,6.0,Windows,Other
125,6a04fb9e3db9424a923769db27470b62a4a66a3ebd15026320fd86e18ff2b7af,Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Avant+Browser+[avantbrowser.com]),Browser,Avant,1,Windows,Other
126,9532144e459f459c2c9a99b2ae4c41da47db1d84c155fc7a4b18aee5b71140d4,Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Cox+High+Speed+Internet+Customer),Browser,IE,6.0,Windows,Other
127,562ee821da76e2567b69d34af5f6287c9c68721f2c072873f0f651fdf13e67c0,Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+T312461;+www.ASPSimply.com;+.NET+CLR+1.1.4322),Browser,IE,6.0,Windows,Other
128,d60bc11c0e9cf23006730a79398ad2e655d0946314badc9dff5b09c9a8f49fbc,Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Win+9x+4.90),Browser,IE,6.0,Windows,Desktop
129,9081560ddb648b65ccd52043342ed44659b08ec86b7ce97d889d8a21b3ac1353,Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Win+9x+4.90;+Creative),Browser,IE,6.0,Windows,Desktop
